Property,Issue,Date,,,,
10 Central Street,Other Problem Properties,Apr-15,,,,
11 Springvale Avenue,In House,Jan-15,,,,
11 Springvale Avenue,In House,Apr-15,,,,
110 Grove Street ,Other Problem Properties,Apr-15,,,,
114 Marlborough Street,2015 Auction Properties,Dec-15,,,,
114 Marlborough Street,2015-2016 Auction Properties,Feb-16,,,,
115 Marlboro Street,Vacant Problem Properties,Mar-16,,,,
115 Marlboro Street,With AG,Nov-16,,,,
115 Marlboro Street,With AG,Jan-17,,,,
115 Marlboro Street,With AG,Feb-17,,,,
115 Marlboro Street,Vacant Problem Properties,Apr-16,,,,
115 Marlboro Street,New Problem Properties ,Feb-16,,,,
115 Marlboro Street,Vacant Problem Properties,Jun-16,,,,
115 Marlboro Street,Vacant Problem Properties,Jul-16,,,,
115 Marlboro Street,With AG,Oct-16,,,,
115 Marlboro Street,With AG,Mar-17,,,,
115 Marlboro Street,Vacant Problem Properties,May-16,,,,
115 Marlboro Street,Vacant Problem Properties,Sep-16,,,,
115 Willow Street,Occupied Problem Properties,Apr-16,,,,
115 Willow Street,Occupied Problem Properties,May-16,,,,
115 Willow Street,Occupied Problem Properties,Jun-16,,,,
115 Willow Street,Occupied Problem Properties,Jul-16,,,,
115 Willow Street,Occupied Problem Properties,Sep-16,,,,
115 Willow Street,Occupied Problem Properties ,Oct-16,,,,
115 Willow Street,Occupied Problem Properties,Jan-17,,,,
115 Willow Street,Tax Title or Receivership,Feb-17,,,,
115 Willow Street,Occupied Problem Properties,Mar-17,,,,
115 Willow Street ,Occupied Problem Properties ,Mar-16,,,,
115 Willow Street ,Occupied Problem Properties,Nov-16,,,,
117 Winnisimmit Street,Other Problem Properties,Sep-16,,,,
117 Winnisimmit Street ,Other Problem Properties,Jul-16,,,,
119 Congress Avenue,Administrative Warrant Properties,Mar-17,,,,
11R Louis Street,2015 Auction Properties,Dec-15,,,,
122R Bellingham Street,2015 Auction Properties,Dec-15,,,,
122R Bellingham Street,2015-2016 Auction Properties,Feb-16,,,,
124 Spencer Avenue,New Business,Jan-17,,,,
124 Spencer Avenue,With AG,Feb-17,,,,
124 Spencer Avenue,With AG,Mar-17,,,,
125 Winnisimmit Street,Other Problem Properties,Oct-16,,,,
126-128 Congress Avenue,New Problem Properties,Jul-15,,,,
134 Clark Avenue,New Problem Properties ,Jan-16,,,,
134 Clark Avenue,Occupied Problem Properties,Feb-16,,,,
134 Clark Avenue,Occupied Problem Properties ,Mar-16,,,,
134 Clark Avenue,Occupied Problem Properties,Apr-16,,,,
